,URL,URL_Length,Url_Shortening,Ssl_Info,Global_Ranking,Has_Suspicious_Params,Num_Languages,Uses_HTTPS,Has_User_Info,User_Info_Length,Num_Subdomains,Num_Digits_Subdomain,Num_Hyphens_Subdomain,Length_Subdomain,Num_Dots_Subdomain,Num_Dash_Subdomain,Num_AtSymbol_Subdomain,Num_TildeSymbol_Subdomain,Num_Underscore_Subdomain,Num_Percent_Subdomain,Num_Ampersand_Subdomain,Num_Hash_Subdomain,Hex_Encoded_Characters_Subdomain,Has_Ip,Num_Digits_Domain,Num_Hyphens_Domain,Length_Domain,Num_Dots_Domain,Num_Dash_Domain,Num_AtSymbol_Domain,Domain_Age,Num_TildeSymbol_Domain,Num_Underscore_Domain,Num_Percent_Domain,Num_Ampersand_Domain,Num_Hash_Domain,Hex_Encoded_Characters_Domain,TLD,Has_Port,Path_Level,Num_Digits_Path,Num_Hyphens_Path,Length_Path,Num_Dots_Path,Num_Dash_Path,Num_AtSymbol_Path,Num_TildeSymbol_Path,Num_Underscore_Path,Num_Percent_Path,Num_Ampersand_Path,Num_Hash_Path,Num_DoubleSlash_Path,Hex_Encoded_Characters_Path,Num_Digits_Query,Num_Hyphens_Query,Length_Query,Num_Query_Params,Num_Dots_Query,Num_Dash_Query,Num_AtSymbol_Query,Num_TildeSymbol_Query,Num_Underscore_Query,Num_Percent_Query,Num_Ampersand_Query,Num_Hash_Query,Hex_Encoded_Characters_Query,Has_Fragment
27,gliq.com,8,False,,674865,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,4,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
28,cnhi.com,8,False,,357761,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,4,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,koreatextile.net,16,False,,592111,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,12,0,0,0,,0,0,0,0,0,0,net,False,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
30,hoptronbrewtique.com,20,False,,2361859,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,16,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
31,hcaptcha.com,12,False,,2075,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,8,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,tena.com.co,11,False,,1055369,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,4,0,0,0,,0,0,0,0,0,0,com.co,False,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,harfemard.ir,12,False,,22758,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,9,0,0,0,,0,0,0,0,0,0,ir,False,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,vulkan24casinosite.dev,22,False,,969288,False,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2,0,18,0,0,0,,0,0,0,0,0,0,dev,False,0,2,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
35,nimbra.io,9,False,,1159041,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,6,0,0,0,,0,0,0,0,0,0,io,False,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,tfwwi.com,9,False,,572606,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,5,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,wind.ne.jp,10,False,,73994,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,4,0,0,0,,0,0,0,0,0,0,ne.jp,False,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,toplivenetwork.com,18,False,,-1,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,14,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
39,vlxxvip.app,11,False,,3463970,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,7,0,0,0,,0,0,0,0,0,0,app,False,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
40,ohub.com.br,11,False,,408303,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,4,0,0,0,,0,0,0,0,0,0,com.br,False,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
41,cyprus-mail.com,15,False,,-1,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,11,0,0,0,,0,0,0,0,0,0,com,False,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
42,worknola.com,12,False,,249258,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,8,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,ggbet-online.ltd,16,False,,350639,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,12,0,0,0,,0,0,0,0,0,0,ltd,False,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,n4group.eu,10,False,,195759,False,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1,0,7,0,0,0,,0,0,0,0,0,0,eu,False,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,spaceportsweden.com,19,False,,611973,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,15,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46,vinseeker.com,13,False,,507495,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,9,0,0,0,,0,0,0,0,0,0,com,False,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,fqbook.cc,9,False,,359934,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,6,0,0,0,,0,0,0,0,0,0,cc,False,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,loyper.net,10,False,,2620428,False,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,6,0,0,0,,0,0,0,0,0,0,net,False,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
